Gene,avg_log2FC,Adjusted_p_value
CHORDC1,1.219582364,6.08E-05
HSPD1,1.418820431,0.000160356
DNAJB1,1.545178555,0.000384542
HSPH1,1.665280574,0.000557484
UTY,-0.858012098,0.001877475
,,
