Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
JUNB,V2,Up,0.654572827,4.20E-30,1.54E-25,1.94E-27,37.4,23.5
MOB4,V2,Up,0.65107377,0.005065364,1,0.025200709,24.6,16.9
FAM117B,V2,Up,0.650295808,3.07E-08,0.001124091,1.02E-06,23.7,16.8
MT1M,V2,Up,0.643301877,8.52E-19,3.12E-14,1.46E-16,50.2,41.8
SERPINH1,V2,Up,0.635438743,0.006486908,1,0.030493362,39,28.1
CWF19L2,V2,Up,0.633081334,0.000316978,1,0.002729596,40.4,32.8
NFKBIA,V2,Up,0.598258799,1.06E-09,3.89E-05,5.08E-08,63.1,52.5
MAFF,V2,Up,0.588347989,1.19E-12,4.37E-08,9.22E-11,28.1,15.7
SLC38A2,V2,Up,0.579218641,1.31E-05,0.479382903,0.000197169,58.9,47.0
MT1X,V2,Up,0.570702535,1.62E-49,5.94E-45,2.21E-46,46.3,44.1
APOLD1,V2,Up,0.568949738,1.41E-65,5.15E-61,4.78E-62,79.2,73.8
CEBPD,V2,Up,0.566838288,1.04E-14,3.79E-10,1.09E-12,59.1,50.3
CCN2,V2,Up,0.566316097,1.84E-12,6.72E-08,1.39E-10,29.2,20.3
KLF2,V2,Up,0.566075448,3.37E-07,0.012351451,8.76E-06,58.6,49.4
CCN1,V2,Up,0.562926517,0.00325328,1,0.017782675,13,5.3
MRPS6,V2,Up,0.556287255,0.01069365,1,0.044988371,26,14.5
GBE1,V2,Up,0.552732829,0.006881268,1,0.031899225,38.1,32.3
PMAIP1,V2,Up,0.532206574,8.77E-06,0.320866688,0.000140259,21.1,10.0
MT-ND3,V2,Up,0.506667859,1.32E-74,4.83E-70,6.78E-71,93.3,88.1
CDKN1A,V2,Up,0.506290901,2.44E-07,0.008930099,6.54E-06,33,21.7
ELL2,V2,Up,0.504895111,2.13E-24,7.81E-20,6.53E-22,46.5,40.6
FXR1,V2,Up,0.503469076,0.000322,1,0.002765831,49,40.1
PCAT19,V2,Up,0.502262733,1.74E-12,6.37E-08,1.32E-10,53.5,42.8
LINC00472,V2,Up,0.494209579,4.00E-10,1.46E-05,2.09E-08,73.3,68.1
UBB,V2,Up,0.490254817,1.12E-07,0.004108082,3.29E-06,45.7,35.1
ZC3HAV1,V2,Up,0.486397438,1.59E-06,0.058032106,3.29E-05,36.8,30.6
GLS,V2,Up,0.483368189,0.015534846,1,0.060325162,49.1,40.7
P4HA2,V2,Up,0.482527898,0.023425713,1,0.082853776,15,6.5
MLKL,V2,Up,0.482268236,0.001244202,1,0.008226472,25.6,19.0
RPS6KA3,V2,Up,0.48217348,3.32E-05,1,0.00043063,57,48.8
EIF1,V2,Up,0.481846488,1.27E-22,4.66E-18,3.13E-20,74.4,65.9
AC105402.3,V2,Up,0.481555848,3.70E-15,1.35E-10,4.06E-13,61.8,49.2
RPS27,V2,Up,0.48076536,2.18E-28,7.97E-24,8.88E-26,65.7,56.0
ID3,V2,Up,0.474084336,1.20E-13,4.41E-09,1.13E-11,62.8,58.6
JUND,V2,Up,0.473166482,3.33E-06,0.121894811,6.23E-05,49,38.5
AHSA1,V2,Up,0.468016542,0.013715069,1,0.054771601,21.7,12.2
CREM,V2,Up,0.46540325,1.65E-55,6.02E-51,3.05E-52,55.2,44.2
AC119673.2,V2,Up,0.463725547,2.27E-19,8.30E-15,4.16E-17,14.9,5.5
